Time,Local Time,CO2_1,CO2_2
1720723985.842425,Thu Jul 11 20:53:05 2024,"9600
","None
"
1720724046.537077,Thu Jul 11 20:54:06 2024,"9633
","10001
"
1720724105.9437673,Thu Jul 11 20:55:05 2024,"9688
","None
"
1720724166.9156752,Thu Jul 11 20:56:06 2024,"9642
","10001
"
1720724226.5421546,Thu Jul 11 20:57:06 2024,"9799
","None
"
1720724286.295281,Thu Jul 11 20:58:06 2024,"9693
","10001
"
1720724345.6498003,Thu Jul 11 20:59:05 2024,"9790
","None
"
1720724406.1839044,Thu Jul 11 21:00:06 2024,"9891
","None
"
1720724465.7411032,Thu Jul 11 21:01:05 2024,"9883
","None
"
1720724526.552534,Thu Jul 11 21:02:06 2024,"9864
","10001
"
1720724585.852219,Thu Jul 11 21:03:05 2024,"9983
","None
"
1720724646.4347029,Thu Jul 11 21:04:06 2024,"9878
","10001
"
1720724705.942349,Thu Jul 11 21:05:05 2024,"9958
","None
"
1720724766.8113306,Thu Jul 11 21:06:06 2024,"10001
","10001
"
1720724825.5503838,Thu Jul 11 21:07:05 2024,"10001
","None
"
1720724886.1928189,Thu Jul 11 21:08:06 2024,"9995
","10001
"
1720724945.6554248,Thu Jul 11 21:09:05 2024,"10001
","None
"
1720725006.5709352,Thu Jul 11 21:10:06 2024,"10001
","10001
"
1720725066.244602,Thu Jul 11 21:11:06 2024,"10001
","None
"
1720725125.9494178,Thu Jul 11 21:12:05 2024,"10001
","10001
"
1720725186.339087,Thu Jul 11 21:13:06 2024,"10001
","None
"
1720725246.3232374,Thu Jul 11 21:14:06 2024,"10001
","10001
"
1720725305.942478,Thu Jul 11 21:15:05 2024,"10001
","None
"
1720725366.6965804,Thu Jul 11 21:16:06 2024,"10001
","10001
"
1720725426.0535514,Thu Jul 11 21:17:06 2024,"10001
","None
"
1720725486.0765235,Thu Jul 11 21:18:06 2024,"10001
","10001
"
1720725545.6553845,Thu Jul 11 21:19:05 2024,"10001
","None
"
1720725606.4519076,Thu Jul 11 21:20:06 2024,"10001
","10001
"
1720725665.7509143,Thu Jul 11 21:21:05 2024,"10001
","None
"
1720725726.3370676,Thu Jul 11 21:22:06 2024,"10001
","10001
"
1720725785.8413203,Thu Jul 11 21:23:05 2024,"10001
","None
"
1720725846.712555,Thu Jul 11 21:24:06 2024,"10001
","10001
"
1720725905.957382,Thu Jul 11 21:25:05 2024,"7750
","None
"
1720725965.5925624,Thu Jul 11 21:26:05 2024,"10001
","10001
"
1720726026.0345733,Thu Jul 11 21:27:06 2024,"10001
","None
"
1720726085.9676707,Thu Jul 11 21:28:05 2024,"10001
","10001
"
1720726145.6468298,Thu Jul 11 21:29:05 2024,"10001
","None
"
1720726206.341093,Thu Jul 11 21:30:06 2024,"10001
","10001
"
1720726265.7416663,Thu Jul 11 21:31:05 2024,"10001
","None
"
1720726326.7160563,Thu Jul 11 21:32:06 2024,"10001
","10001
"
1720726386.3401594,Thu Jul 11 21:33:06 2024,"10001
","None
"
1720726446.0977988,Thu Jul 11 21:34:06 2024,"10001
","10001
"
1720726505.433671,Thu Jul 11 21:35:05 2024,"10001
","None
"
1720726565.975115,Thu Jul 11 21:36:05 2024,"10001
","10001
"
1720726625.5284483,Thu Jul 11 21:37:05 2024,"10001
","None
"
1720726686.349393,Thu Jul 11 21:38:06 2024,"10001
","10001
"
1720726745.6365726,Thu Jul 11 21:39:05 2024,"10001
","None
"
1720726806.223691,Thu Jul 11 21:40:06 2024,"10001
","10001
"
1720726865.733548,Thu Jul 11 21:41:05 2024,"10001
","None
"
1720726926.5966945,Thu Jul 11 21:42:06 2024,"10001
","10001
"
1720726985.8490088,Thu Jul 11 21:43:05 2024,"8200
","None
"
1720727046.4733913,Thu Jul 11 21:44:06 2024,"10001
","10001
"
1720727105.9200613,Thu Jul 11 21:45:05 2024,"10001
","None
"
1720727166.847946,Thu Jul 11 21:46:06 2024,"10001
","10001
"
1720727226.5139709,Thu Jul 11 21:47:06 2024,"10001
","None
"
1720727286.2280235,Thu Jul 11 21:48:06 2024,"10001
","10001
"
1720727345.6061535,Thu Jul 11 21:49:05 2024,"10001
","None
"
1720727406.5983691,Thu Jul 11 21:50:06 2024,"10001
","10001
"
1720727466.207893,Thu Jul 11 21:51:06 2024,"10001
","None
"
1720727525.9752843,Thu Jul 11 21:52:05 2024,"10001
","10001
"
1720727586.3025732,Thu Jul 11 21:53:06 2024,"10001
","None
"
1720727645.8505788,Thu Jul 11 21:54:05 2024,"10001
","10001
"
1720727706.3867006,Thu Jul 11 21:55:06 2024,"10001
","None
"
1720727766.2222052,Thu Jul 11 21:56:06 2024,"10001
","10001
"
1720727825.4913323,Thu Jul 11 21:57:05 2024,"10001
","None
"
1720727886.0964303,Thu Jul 11 21:58:06 2024,"10001
","10001
"
1720727946.0899017,Thu Jul 11 21:59:06 2024,"10001
","None
"
1720728005.9681842,Thu Jul 11 22:00:05 2024,"10001
","10001
"
1720728065.2014961,Thu Jul 11 22:01:05 2024,"8001
","None
"
1720728125.8490453,Thu Jul 11 22:02:05 2024,"10001
","10001
"
1720728186.522467,Thu Jul 11 22:03:06 2024,"10001
","10001
"
1720728245.8112707,Thu Jul 11 22:04:05 2024,"10001
","None
"
1720728305.3994577,Thu Jul 11 22:05:05 2024,"10001
","10001
"
1720728365.900159,Thu Jul 11 22:06:05 2024,"10001
","None
"
1720728426.7643988,Thu Jul 11 22:07:06 2024,"10001
","10001
"
1720728486.4874456,Thu Jul 11 22:08:06 2024,"10001
","None
"
1720728546.1373315,Thu Jul 11 22:09:06 2024,"10001
","10001
"
1720728605.5983095,Thu Jul 11 22:10:05 2024,"10001
","None
"
1720728666.506827,Thu Jul 11 22:11:06 2024,"10001
","10001
"
1720728726.168538,Thu Jul 11 22:12:06 2024,"10001
","None
"
1720728785.8788867,Thu Jul 11 22:13:05 2024,"10001
","10001
"
1720728846.253881,Thu Jul 11 22:14:06 2024,"10001
","None
"
1720728906.2492478,Thu Jul 11 22:15:06 2024,"10001
","10001
"
1720728965.8515775,Thu Jul 11 22:16:05 2024,"10001
","None
"
1720729026.617899,Thu Jul 11 22:17:06 2024,"10001
","10001
"
1720729085.9388719,Thu Jul 11 22:18:05 2024,"10001
","None
"
1720729145.4979122,Thu Jul 11 22:19:05 2024,"10001
","None
"
1720729206.1734116,Thu Jul 11 22:20:06 2024,"10001
","10001
"
1720729265.5838609,Thu Jul 11 22:21:05 2024,"10001
","None
"
1720729326.5421543,Thu Jul 11 22:22:06 2024,"10001
","10001
"
1720729386.1702611,Thu Jul 11 22:23:06 2024,"10001
","None
"
1720729445.9140503,Thu Jul 11 22:24:05 2024,"10001
","10001
"
1720729506.263206,Thu Jul 11 22:25:06 2024,"10001
","None
"
1720729566.2797174,Thu Jul 11 22:26:06 2024,"10001
","10001
"
1720729625.839509,Thu Jul 11 22:27:05 2024,"10001
","None
"
1720729686.6446645,Thu Jul 11 22:28:06 2024,"10001
","10001
"
1720729745.9421139,Thu Jul 11 22:29:05 2024,"10001
","None
"
1720729806.5144627,Thu Jul 11 22:30:06 2024,"10001
","10001
"
1720729866.016866,Thu Jul 11 22:31:06 2024,"10001
","None
"
1720729925.881703,Thu Jul 11 22:32:05 2024,"10001
","10001
"
1720729986.1336374,Thu Jul 11 22:33:06 2024,"8001
","None
"
1720730045.7509344,Thu Jul 11 22:34:05 2024,"10001
","10001
"
1720730105.2196212,Thu Jul 11 22:35:05 2024,"10001
","None
"
1720730166.1127775,Thu Jul 11 22:36:06 2024,"10001
","10001
"
1720730225.7808423,Thu Jul 11 22:37:05 2024,"10001
","None
"
1720730286.4756815,Thu Jul 11 22:38:06 2024,"10001
","10001
"
1720730345.8696196,Thu Jul 11 22:39:05 2024,"10001
","None
"
1720730406.83902,Thu Jul 11 22:40:06 2024,"10001
","10001
"
1720730466.4546156,Thu Jul 11 22:41:06 2024,"10001
","None
"
1720730526.2059495,Thu Jul 11 22:42:06 2024,"10001
","10001
"
1720730585.5605671,Thu Jul 11 22:43:05 2024,"10001
","None
"
1720730646.5670116,Thu Jul 11 22:44:06 2024,"10001
","10001
"
1720730706.147806,Thu Jul 11 22:45:06 2024,"10001
","None
"
1720730765.9338083,Thu Jul 11 22:46:05 2024,"10001
","10001
"
1720730826.2335901,Thu Jul 11 22:47:06 2024,"10001
","None
"
1720730885.8024945,Thu Jul 11 22:48:05 2024,"10001
","10001
"
1720730946.337756,Thu Jul 11 22:49:06 2024,"10001
","None
"
1720731006.1608703,Thu Jul 11 22:50:06 2024,"10001
","10001
"
1720731065.443031,Thu Jul 11 22:51:05 2024,"10001
","None
"
1720731126.039887,Thu Jul 11 22:52:06 2024,"10001
","10001
"
1720731185.5490785,Thu Jul 11 22:53:05 2024,"10001
","None
"
1720731246.4036362,Thu Jul 11 22:54:06 2024,"10001
","10001
"
1720731305.6358056,Thu Jul 11 22:55:05 2024,"10001
","None
"
1720731366.2679906,Thu Jul 11 22:56:06 2024,"10001
","10001
"
1720731425.7257326,Thu Jul 11 22:57:05 2024,"10001
","None
"
1720731486.6301365,Thu Jul 11 22:58:06 2024,"10001
","10001
"
1720731546.3148932,Thu Jul 11 22:59:06 2024,"10001
","None
"
1720731605.8668222,Thu Jul 11 23:00:05 2024,"10001
","None
"
1720731666.6791534,Thu Jul 11 23:01:06 2024,"10001
","10001
"
1720731725.951791,Thu Jul 11 23:02:05 2024,"10001
","None
"
1720731786.0444636,Thu Jul 11 23:03:06 2024,"10001
","10001
"
1720731845.5467944,Thu Jul 11 23:04:05 2024,"10001
","None
"
1720731906.405267,Thu Jul 11 23:05:06 2024,"10001
","10001
"
1720731966.1230578,Thu Jul 11 23:06:06 2024,"10001
","None
"
1720732025.7691054,Thu Jul 11 23:07:05 2024,"10001
","10001
"
1720732086.2127078,Thu Jul 11 23:08:06 2024,"10001
","None
"
1720732146.1272604,Thu Jul 11 23:09:06 2024,"10001
","10001
"
1720732205.790654,Thu Jul 11 23:10:05 2024,"10001
","None
"
1720732266.486393,Thu Jul 11 23:11:06 2024,"10001
","10001
"
1720732325.879651,Thu Jul 11 23:12:05 2024,"10001
","None
"
1720732386.8426075,Thu Jul 11 23:13:06 2024,"10001
","10001
"
1720732446.4571073,Thu Jul 11 23:14:06 2024,"10001
","None
"
1720732506.2075658,Thu Jul 11 23:15:06 2024,"10001
","10001
"
1720732565.558592,Thu Jul 11 23:16:05 2024,"10001
","None
"
1720732626.5661561,Thu Jul 11 23:17:06 2024,"10001
","10001
"
1720732686.1327128,Thu Jul 11 23:18:06 2024,"10001
","None
"
1720732745.9282613,Thu Jul 11 23:19:05 2024,"10001
","10001
"
1720732806.2219927,Thu Jul 11 23:20:06 2024,"10001
","None
"
1720732865.7894921,Thu Jul 11 23:21:05 2024,"10001
","10001
"
1720732926.3117962,Thu Jul 11 23:22:06 2024,"10001
","None
"
1720732986.1469035,Thu Jul 11 23:23:06 2024,"10001
","10001
"
1720733045.4108703,Thu Jul 11 23:24:05 2024,"10001
","None
"
