Time,Local Time,CO2_1,CO2_2
1723496106.2714596,Mon Aug 12 22:55:06 2024,"834
","10001
"
1723496165.750318,Mon Aug 12 22:56:05 2024,"826
","None
"
1723496226.3614197,Mon Aug 12 22:57:06 2024,"821
","10001
"
1723496285.7396111,Mon Aug 12 22:58:05 2024,"814
","None
"
1723496346.9512625,Mon Aug 12 22:59:06 2024,"830
","10001
"
1723496406.2335613,Mon Aug 12 23:00:06 2024,"833
","None
"
1723496466.0530562,Mon Aug 12 23:01:06 2024,"830
","10001
"
1723496525.7386672,Mon Aug 12 23:02:05 2024,"836
","None
"
1723496586.147935,Mon Aug 12 23:03:06 2024,"823
","10001
"
1723496645.7348046,Mon Aug 12 23:04:05 2024,"834
","None
"
1723496706.2413988,Mon Aug 12 23:05:06 2024,"844
","10001
"
1723496765.7407126,Mon Aug 12 23:06:05 2024,"844
","None
"
1723496826.830107,Mon Aug 12 23:07:06 2024,"839
","10001
"
1723496886.2365992,Mon Aug 12 23:08:06 2024,"855
","None
"
1723496946.423593,Mon Aug 12 23:09:06 2024,"841
","10001
"
1723497006.2464495,Mon Aug 12 23:10:06 2024,"850
","None
"
1723497065.5202172,Mon Aug 12 23:11:05 2024,"856
","10001
"
1723497126.2364323,Mon Aug 12 23:12:06 2024,"840
","None
"
1723497185.604963,Mon Aug 12 23:13:05 2024,"849
","10001
"
1723497246.2397842,Mon Aug 12 23:14:06 2024,"854
","None
"
1723497305.6941442,Mon Aug 12 23:15:05 2024,"852
","10001
"
1723497366.24825,Mon Aug 12 23:16:06 2024,"846
","None
"
1723497425.7801723,Mon Aug 12 23:17:05 2024,"644
","10001
"
1723497486.2462041,Mon Aug 12 23:18:06 2024,"861
","None
"
1723497545.8659875,Mon Aug 12 23:19:05 2024,"855
","10001
"
1723497606.231873,Mon Aug 12 23:20:06 2024,"861
","None
"
1723497665.9497585,Mon Aug 12 23:21:05 2024,"866
","10001
"
1723497726.2347288,Mon Aug 12 23:22:06 2024,"875
","None
"
1723497786.0376248,Mon Aug 12 23:23:06 2024,"863
","10001
"
1723497845.7411132,Mon Aug 12 23:24:05 2024,"870
","None
"
1723497906.1231,Mon Aug 12 23:25:06 2024,"874
","10001
"
1723497965.7367918,Mon Aug 12 23:26:05 2024,"852
","None
"
1723498026.20762,Mon Aug 12 23:27:06 2024,"689
","10001
"
1723498085.7197654,Mon Aug 12 23:28:05 2024,"871
","None
"
1723498146.2962368,Mon Aug 12 23:29:06 2024,"None
","10001
"
1723498205.7219613,Mon Aug 12 23:30:05 2024,"878
","None
"
1723498266.87662,Mon Aug 12 23:31:06 2024,"872
","10001
"
1723498326.2232661,Mon Aug 12 23:32:06 2024,"882
","None
"
1723498385.9723926,Mon Aug 12 23:33:05 2024,"862
","None
"
1723498445.514237,Mon Aug 12 23:34:05 2024,"875
","10001
"
1723498505.9657888,Mon Aug 12 23:35:05 2024,"879
","None
"
1723498567.090585,Mon Aug 12 23:36:07 2024,"877
","10001
"
